API,Region,2019
,World,
INTL.2-12-WORL-BKWH.A,    Generation (billion kWh),25826.65872
INTL.29-12-WORL-BKWH.A,        Renewables (billion kWh),7112.468687
INTL.33-12-WORL-BKWH.A,            Hydroelectricity (billion kWh),4205.165181
INTL.34-12-WORL-BKWH.A,            Non-hydroelectric renewables (billion kWh),2907.303506
INTL.35-12-WORL-BKWH.A,                Geothermal (billion kWh),87.59701701
INTL.36-12-WORL-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",741.1264705
INTL.117-12-WORL-BKWH.A,                    Tide and wave (billion kWh),40.759
INTL.116-12-WORL-BKWH.A,                    Solar (billion kWh),700.3674705
INTL.37-12-WORL-BKWH.A,                Wind (billion kWh),1427.655144
INTL.38-12-WORL-BKWH.A,                Biomass and waste (billion kWh),650.9248754
INTL.82-12-WORL-BKWH.A,        Hydroelectric pumped storage (billion kWh),-36.609744
,Afghanistan,
INTL.2-12-AFG-BKWH.A,    Generation (billion kWh),1.06269
INTL.29-12-AFG-BKWH.A,        Renewables (billion kWh),0.88
INTL.33-12-AFG-BKWH.A,            Hydroelectricity (billion kWh),0.84
INTL.34-12-AFG-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.04
INTL.35-12-AFG-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-AFG-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.04
INTL.117-12-AFG-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-AFG-BKWH.A,                    Solar (billion kWh),0.04
INTL.37-12-AFG-BKWH.A,                Wind (billion kWh),0
INTL.38-12-AFG-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-AFG-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Albania,
INTL.2-12-ALB-BKWH.A,    Generation (billion kWh),5.17594
INTL.29-12-ALB-BKWH.A,        Renewables (billion kWh),5.17594
INTL.33-12-ALB-BKWH.A,            Hydroelectricity (billion kWh),5.15394
INTL.34-12-ALB-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.022
INTL.35-12-ALB-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-ALB-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.022
INTL.117-12-ALB-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ALB-BKWH.A,                    Solar (billion kWh),0.022
INTL.37-12-ALB-BKWH.A,                Wind (billion kWh),0
INTL.38-12-ALB-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-ALB-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Algeria,
INTL.2-12-DZA-BKWH.A,    Generation (billion kWh),76.685
INTL.29-12-DZA-BKWH.A,        Renewables (billion kWh),0.837
INTL.33-12-DZA-BKWH.A,            Hydroelectricity (billion kWh),0.152
INTL.34-12-DZA-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.685
INTL.35-12-DZA-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-DZA-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.675
INTL.117-12-DZA-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-DZA-BKWH.A,                    Solar (billion kWh),0.675
INTL.37-12-DZA-BKWH.A,                Wind (billion kWh),0.01
INTL.38-12-DZA-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-DZA-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,American Samoa,
INTL.2-12-ASM-BKWH.A,    Generation (billion kWh),0.163
INTL.29-12-ASM-BKWH.A,        Renewables (billion kWh),0
INTL.33-12-ASM-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-ASM-BKWH.A,            Non-hydroelectric renewables (billion kWh),0
INTL.35-12-ASM-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-ASM-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0
INTL.117-12-ASM-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-ASM-BKWH.A,                    Solar (billion kWh),0
INTL.37-12-ASM-BKWH.A,                Wind (billion kWh),0
INTL.38-12-ASM-BKWH.A,                Biomass and waste (billion kWh),0
