Report generated on: 04-07-2022 12:36:39,,
API,,2019
,World,
INTL.2-12-WORL-BKWH.A,    Generation (billion kWh),25826.65872
INTL.29-12-WORL-BKWH.A,        Renewables (billion kWh),7112.468687
,Afghanistan,
INTL.2-12-AFG-BKWH.A,    Generation (billion kWh),1.06269
INTL.29-12-AFG-BKWH.A,        Renewables (billion kWh),0.88
,Albania,
INTL.2-12-ALB-BKWH.A,    Generation (billion kWh),5.17594
INTL.29-12-ALB-BKWH.A,        Renewables (billion kWh),5.17594
,Algeria,
INTL.2-12-DZA-BKWH.A,    Generation (billion kWh),76.685
INTL.29-12-DZA-BKWH.A,        Renewables (billion kWh),0.837
,American Samoa,
INTL.2-12-ASM-BKWH.A,    Generation (billion kWh),0.163
INTL.29-12-ASM-BKWH.A,        Renewables (billion kWh),0
,Angola,
INTL.2-12-AGO-BKWH.A,    Generation (billion kWh),13.556
INTL.29-12-AGO-BKWH.A,        Renewables (billion kWh),9.248
,Antarctica,
INTL.2-12-ATA-BKWH.A,    Generation (billion kWh),0
INTL.29-12-ATA-BKWH.A,        Renewables (billion kWh),0
,Antigua and Barbuda,
INTL.2-12-ATG-BKWH.A,    Generation (billion kWh),0.343
INTL.29-12-ATG-BKWH.A,        Renewables (billion kWh),0.015
,Argentina,
INTL.2-12-ARG-BKWH.A,    Generation (billion kWh),132.26389
INTL.29-12-ARG-BKWH.A,        Renewables (billion kWh),34.78189
,Armenia,
INTL.2-12-ARM-BKWH.A,    Generation (billion kWh),7.26447
INTL.29-12-ARM-BKWH.A,        Renewables (billion kWh),2.37129
,Aruba,
INTL.2-12-ABW-BKWH.A,    Generation (billion kWh),0.919712
INTL.29-12-ABW-BKWH.A,        Renewables (billion kWh),0.146712
,Australia,
INTL.2-12-AUS-BKWH.A,    Generation (billion kWh),249.99605
INTL.29-12-AUS-BKWH.A,        Renewables (billion kWh),51.59105
,Austria,
INTL.2-12-AUT-BKWH.A,    Generation (billion kWh),68.67575
INTL.29-12-AUT-BKWH.A,        Renewables (billion kWh),55.14875
,Azerbaijan,
INTL.2-12-AZE-BKWH.A,    Generation (billion kWh),24.60663
INTL.29-12-AZE-BKWH.A,        Renewables (billion kWh),1.89435
,Bahrain,
INTL.2-12-BHR-BKWH.A,    Generation (billion kWh),31.44425
INTL.29-12-BHR-BKWH.A,        Renewables (billion kWh),0.00925
,Bangladesh,
INTL.2-12-BGD-BKWH.A,    Generation (billion kWh),79.600877
INTL.29-12-BGD-BKWH.A,        Renewables (billion kWh),1.198877
,Barbados,
INTL.2-12-BRB-BKWH.A,    Generation (billion kWh),1.02
INTL.29-12-BRB-BKWH.A,        Renewables (billion kWh),0.04
,Belarus,
INTL.2-12-BLR-BKWH.A,    Generation (billion kWh),37.7155
INTL.29-12-BLR-BKWH.A,        Renewables (billion kWh),1.03952
,Belgium,
INTL.2-12-BEL-BKWH.A,    Generation (billion kWh),88.754
INTL.29-12-BEL-BKWH.A,        Renewables (billion kWh),20.624
,Belize,
INTL.2-12-BLZ-BKWH.A,    Generation (billion kWh),0.832605
INTL.29-12-BLZ-BKWH.A,        Renewables (billion kWh),0.432605
,Benin,
INTL.2-12-BEN-BKWH.A,    Generation (billion kWh),0.2018
INTL.29-12-BEN-BKWH.A,        Renewables (billion kWh),0.00816
,Bermuda,
INTL.2-12-BMU-BKWH.A,    Generation (billion kWh),0.574434
INTL.29-12-BMU-BKWH.A,        Renewables (billion kWh),0
,Bhutan,
INTL.2-12-BTN-BKWH.A,    Generation (billion kWh),8.95204
INTL.29-12-BTN-BKWH.A,        Renewables (billion kWh),8.952
,Bolivia,
INTL.2-12-BOL-BKWH.A,    Generation (billion kWh),9.98369
INTL.29-12-BOL-BKWH.A,        Renewables (billion kWh),3.72047
,Bosnia and Herzegovina,
INTL.2-12-BIH-BKWH.A,    Generation (billion kWh),16.65445
INTL.29-12-BIH-BKWH.A,        Renewables (billion kWh),6.31219
,Botswana,
INTL.2-12-BWA-BKWH.A,    Generation (billion kWh),3.0459
INTL.29-12-BWA-BKWH.A,        Renewables (billion kWh),0.005
,Brazil,
INTL.2-12-BRA-BKWH.A,    Generation (billion kWh),614.54178
INTL.29-12-BRA-BKWH.A,        Renewables (billion kWh),510.38878
,British Virgin Islands,
INTL.2-12-VGB-BKWH.A,    Generation (billion kWh),0.138798
INTL.29-12-VGB-BKWH.A,        Renewables (billion kWh),0.001558
,Brunei,
INTL.2-12-BRN-BKWH.A,    Generation (billion kWh),4.63714
INTL.29-12-BRN-BKWH.A,        Renewables (billion kWh),0.002
,Bulgaria,
INTL.2-12-BGR-BKWH.A,    Generation (billion kWh),40.48217
INTL.29-12-BGR-BKWH.A,        Renewables (billion kWh),7.88517
,Burkina Faso,
INTL.2-12-BFA-BKWH.A,    Generation (billion kWh),1.72652
INTL.29-12-BFA-BKWH.A,        Renewables (billion kWh),0.215
,Burma,
INTL.2-12-MMR-BKWH.A,    Generation (billion kWh),24.88138
INTL.29-12-MMR-BKWH.A,        Renewables (billion kWh),12.0109
,Burundi,
INTL.2-12-BDI-BKWH.A,    Generation (billion kWh),0.356734
INTL.29-12-BDI-BKWH.A,        Renewables (billion kWh),0.233788
,Cabo Verde,
INTL.2-12-CPV-BKWH.A,    Generation (billion kWh),0.469
INTL.29-12-CPV-BKWH.A,        Renewables (billion kWh),0.089
,Cambodia,
INTL.2-12-KHM-BKWH.A,    Generation (billion kWh),8.41234
INTL.29-12-KHM-BKWH.A,        Renewables (billion kWh),4.2143
,Cameroon,
INTL.2-12-CMR-BKWH.A,    Generation (billion kWh),8.39484
INTL.29-12-CMR-BKWH.A,        Renewables (billion kWh),5.4
,Canada,
INTL.2-12-CAN-BKWH.A,    Generation (billion kWh),633.60403
INTL.29-12-CAN-BKWH.A,        Renewables (billion kWh),425.95003
,Cayman Islands,
INTL.2-12-CYM-BKWH.A,    Generation (billion kWh),0.695165
INTL.29-12-CYM-BKWH.A,        Renewables (billion kWh),0.016165
,Central African Republic,
INTL.2-12-CAF-BKWH.A,    Generation (billion kWh),0.15094
INTL.29-12-CAF-BKWH.A,        Renewables (billion kWh),0.15
,Chad,
