Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,8638.282907
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Iran, Islamic Rep.",IRN,4785.027876
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Norway,NOR,76005.22479
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States,USA,60836.77145
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,555.1389963
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,4544.515005
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,4115.39554
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,11368.56958
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,39003.38445
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,3458.650512
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,16786.44743
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,12712.97074
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,4350.466198
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,58781.04666
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,46650.98628
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,5348.26526
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,32136.76231
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,21317.33449
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,1603.953646
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,16800.21
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,6264.860965
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,43053.78859
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,4701.043306
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Benin,BEN,1201.561384
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bermuda,BMU,107196.8151
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bhutan,BTN,3238.060464
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,3317.370945
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,5578.266314
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Botswana,BWA,7027.045357
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,30646.10925
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,8234.781334
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,738.2189012
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burundi,BDI,278.3193713
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,3482.448472
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,1441.179228
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1449.277548
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Canada,CAN,45118.6591
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,83536.29335
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,418.3155518
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chad,TCD,660.0699288
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chile,CHL,13866.95584
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,China,CHN,10155.41756
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Colombia,COL,6390.368057
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Comoros,COM,1284.286519
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Dem. Rep.",COD,512.5863194
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Rep.",COG,1792.307167
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Costa Rica,CRI,12735.09282
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cote d'Ivoire,CIV,2327.745364
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Croatia,HRV,14068.04453
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cuba,CUB,8031.03542
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Curacao,CUW,18407.4799
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cyprus,CYP,28211.06465
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Czech Republic,CZE,20202.15159
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Denmark,DNK,57553.13124
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Djibouti,DJI,3278.527362
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominica,DMA,7914.13586
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,8314.344819
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ecuador,ECU,5853.81306
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Egypt, Arab Rep.",EGY,3964.987129
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,El Salvador,SLV,3993.529062
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Equatorial Guinea,GNQ,7373.595179
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eritrea,ERI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Estonia,EST,20399.56934
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eswatini,SWZ,3833.246815
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,799.7951343
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Faroe Islands,FRO,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Fiji,FJI,5869.021144
